45.68,0.08,0.51,0.08,72.88,0.48,0.42,0.86,50.62,0.08,0.13,0.05,0.05,0.05,0.05,2.15,3.73,4.72,1.120001,3.7200010000000003,0.020001
47.5,0.84,0.75,0.23,18.05,0.44,0.7,0.53,9.13,0.4,0.12,0.29,0.05,0.05,0.05,3.86,2.03,1.44,3.8500010000000002,1e-06,1e-06
98.36,0.34,0.05,0.45,13.29,0.28,0.19,0.3,60.0,0.86,0.95,0.51,0.05,0.05,0.05,0.49,1.15,1.74,0.48000099999999996,0.640001,0.760001
78.72,0.91,0.85,0.62,87.82,0.51,0.66,0.97,71.74,0.02,0.28,0.68,0.05,0.05,0.05,2.06,0.64,4.56,1e-06,1e-06,4.550001
2.2,0.94,0.87,0.94,51.07,0.95,0.02,0.91,16.22,0.94,0.25,0.51,0.05,0.05,0.05,0.82,1.03,1.65,0.8100010000000001,1e-06,0.07000100000000001
80.51,0.94,0.11,0.99,26.11,0.95,0.83,0.2,51.24,0.7,0.11,0.46,0.05,0.05,0.05,2.18,4.39,3.17,2.170001,1e-06,0.770001
59.33,0.52,0.94,0.44,20.37,0.91,0.42,0.71,81.17,0.75,0.44,0.92,0.05,0.05,0.05,0.79,0.32,4.94,0.100001,1e-06,4.930001
66.5,0.51,0.93,0.5,88.62,0.14,0.08,0.9,97.83,0.73,0.15,0.67,0.05,0.05,0.05,1.46,3.95,1.03,1.4500009999999999,0.030001,0.6700010000000001
85.41,0.17,0.21,0.95,56.22,0.93,0.63,0.62,99.92,0.93,0.02,0.85,0.05,0.05,0.05,1.58,1.01,0.69,1.570001,1e-06,0.6800010000000001
23.46,0.95,0.12,0.33,76.65,0.63,0.9,0.5,36.94,0.5,0.73,0.78,0.05,0.05,0.05,4.96,3.9,3.95,0.9500010000000001,1.6700009999999998,3.940001
3.27,0.48,0.31,0.35,99.55,0.08,0.25,0.75,48.93,0.78,0.55,0.18,0.05,0.05,0.05,4.58,0.05,3.06,4.570001,0.040001,0.030001
31.12,0.63,0.33,0.26,58.78,0.03,0.07,0.73,2.78,0.26,0.82,0.25,0.05,0.05,0.05,3.88,0.79,1.0,0.080001,0.780001,0.410001
85.02,0.47,0.19,0.28,0.81,0.3,0.15,0.1,28.79,0.31,0.89,0.91,0.05,0.05,0.05,1.55,1.5,1.72,0.170001,1e-06,1.7100009999999999
45.13,0.27,0.59,0.2,15.56,0.92,0.44,0.91,75.09,0.23,0.72,0.98,0.05,0.05,0.05,4.71,0.3,4.37,1e-06,1e-06,4.3600010000000005
83.31,0.74,0.5,0.66,45.18,0.79,0.13,0.42,5.03,0.27,0.92,0.94,0.05,0.05,0.05,4.72,1.03,4.13,0.710001,1.020001,3.920001
85.7,0.7,0.87,0.89,91.51,0.52,0.55,0.53,43.35,0.89,0.11,0.51,0.05,0.05,0.05,1.13,0.78,1.95,1.120001,1e-06,0.040001
40.41,0.38,0.42,0.71,41.59,0.38,0.18,0.36,65.76,0.22,0.19,0.39,0.05,0.05,0.05,0.4,3.74,1.71,0.390001,0.210001,1.7000009999999999
46.79,0.84,0.93,0.93,11.15,0.74,0.6,0.61,12.4,0.53,0.76,0.77,0.05,0.05,0.05,4.11,0.06,3.14,1e-06,1e-06,3.130001
18.63,0.74,0.83,0.02,61.22,0.98,0.99,0.91,15.34,0.61,0.97,0.82,0.05,0.05,0.05,1.44,2.61,0.06,1.4300009999999999,2.6000010000000002,1e-06
23.03,0.39,0.12,0.17,13.62,0.57,0.26,0.41,18.32,0.84,0.99,0.94,0.05,0.05,0.05,0.63,4.33,3.43,0.620001,0.49000099999999996,0.8100010000000001
15.66,0.08,0.83,0.54,36.67,0.26,0.8,0.18,91.39,0.3,0.13,0.86,0.05,0.05,0.05,4.43,4.37,2.72,1e-06,0.030001,2.710001
26.03,0.25,0.54,0.27,11.91,0.52,0.54,0.02,80.25,0.7,0.99,0.44,0.05,0.05,0.05,3.17,4.69,2.11,0.31000099999999997,4.680001,0.170001
83.38,0.34,0.24,0.98,6.59,0.42,0.07,0.4,65.34,0.47,0.29,0.25,0.05,0.05,0.05,3.85,0.58,0.33,3.840001,1e-06,0.230001
61.98,0.86,0.53,0.37,22.77,0.95,0.98,0.05,38.79,0.55,0.24,0.33,0.05,0.05,0.05,1.24,4.68,1.65,1.230001,0.07000100000000001,0.160001
16.26,0.66,0.23,0.12,74.49,0.3,0.67,0.67,57.67,0.95,0.91,0.83,0.05,0.05,0.05,3.38,4.21,2.04,3.3700010000000002,1.720001,2.0300010000000004
3.65,0.1,0.15,0.62,42.81,0.36,0.01,0.24,39.61,0.61,0.76,0.92,0.05,0.05,0.05,3.39,4.04,1.82,2.500001,0.610001,1.810001
89.04,0.38,0.29,0.49,70.57,0.03,0.43,0.86,57.52,0.06,0.42,0.04,0.05,0.05,0.05,0.27,3.39,0.71,1e-06,3.380001,0.120001
55.88,0.5,0.41,0.93,55.85,0.93,0.9,0.65,32.73,0.55,0.52,0.31,0.05,0.05,0.05,3.16,4.75,2.09,3.150001,3.0100010000000004,1.250001
88.3,0.05,0.92,0.55,97.36,0.2,0.73,0.18,91.3,0.16,0.93,0.95,0.05,0.05,0.05,4.89,0.87,0.57,0.020001,0.860001,0.5600010000000001
65.31,0.53,0.18,0.08,59.86,0.22,0.14,0.3,20.77,0.09,0.39,0.85,0.05,0.05,0.05,4.32,4.32,0.04,0.060001,0.170001,0.030001
